1000	337
2000	705
3000	1113
4000	1472
5000	1830
6000	3268
7000	3634
8000	3265
9000	3380
10000	4885
11000	5314
12000	4647
13000	5382
14000	5491
15000	5874
16000	8625
17000	6967
18000	7496
19000	8036
20000	9296
21000	9062
22000	9124
23000	10757
24000	10230
25000	11238
26000	11809
27000	11625
28000	14749
29000	13248
30000	15347
31000	13663
32000	15649
33000	14320
34000	16141
35000	15386
36000	17228
37000	16208
38000	18227
39000	17758
40000	17997
41000	19347
42000	19414
43000	19910
44000	21376
45000	22364
46000	22030
47000	22709
48000	23028
49000	23601
50000	23202
51000	23619
52000	25052
53000	25361
54000	26627
55000	26452
56000	27745
57000	27981
58000	27575
59000	27771
60000	28378
61000	29295
62000	29996
63000	31044
64000	31292
65000	32541
66000	32307
67000	32589
68000	32972
69000	35785
70000	34424
71000	34660
72000	36577
73000	35813
74000	36348
75000	36782
76000	38665
77000	37731
78000	37915
79000	39945
80000	39570
81000	39571
82000	42313
83000	40768
84000	43428
85000	42009
86000	44173
87000	43181
88000	43006
89000	45430
90000	44953
91000	46148
92000	46122
93000	47898
94000	46485
95000	48660
96000	47270
97000	49624
98000	48596
99000	50490
100000	48995
